Categoria,Título,Descripción,Enlace,Fecha_Publicacion,Señales_de_Sensacionalismo,¿Tiene_Señales?
Política,"<![CDATA[Cuál es la cantidad de votos que separa a Keiko Fujimori y Roberto Sánchez, según resultados oficiales de la ONPE]]>",,,,Ninguna,False
Política,<![CDATA[Diputados electos para el período 2026-2031 reciben este viernes sus credenciales por parte del JNE]]>,,,,Ninguna,False
Política,"<![CDATA[Ausencias, gestos y silencios: el detrás de cámaras de la entrega de credenciales a los senadores del nuevo Congreso bicameral]]>","El JNE entregó las credenciales a los primeros senadores del Congreso bicameral 2026. Revive la histórica ceremonia, el retorno del Senado tras casi 36 años y los principales hitos de la bicameralidad y la unicameralidad en el Perú.",,,Ninguna,False
Política,"<![CDATA[“Inverosímil”, “ni siquiera sustenta una sospecha”: Los argumentos del JNE para rechazar los recursos de nulidad de Juntos por el Perú]]>",,,,Ninguna,False
Política,<![CDATA[Resultados ONPE al 99.880%: Keiko Fujimori mantiene ventaja sobre Roberto Sánchez en conteo de votos ]]>,Resultados ONPE EN VIVO tras segunda vuelta: Keiko Fujimori y Roberto Sánchez disputan presidencia de Perú lbposting,,,Ninguna,False
Política,<![CDATA[Keiko Fujimori promete convocar a un equipo de gobierno que vaya más allá de su partido]]>,"A la espera de los resultados oficiales que confirmen su victoria en la segunda vuelta, la candidata presidencial Keiko Fujimori aseguró este jueves 25 que su gobierno no estará integrado únicamente por militantes de Fuerza Popular.",,,Ninguna,False
Política,<![CDATA[El sombrero solitario]]>,"Se le acaba el tiempo al candidato de Juntos por el Perú, Roberto Sánchez. El viernes 3 de julio, el Jurado Nacional de Elecciones proclamará los resultados de la segunda vuelta y, ante las últimas decisiones del ente electoral y las actualizaciones del conteo de la Oficina Nacional de Procesos Electorales, el triunfo de Keiko Fujimori es inminente.",,,Ninguna,False
Política,<![CDATA[Elecciones Perú 2026: Resultados ONPE al 99.842% de la segunda vuelta de Tumbes y conteo oficial de votos en vivo]]>,,,,Ninguna,False
Política,<![CDATA[Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta de Tacna y conteo oficial de votos en vivo]]>,,,,Ninguna,False
Política,<![CDATA[Elecciones Perú 2026: Resultados ONPE al 99.773% de la segunda vuelta de Piura y conteo oficial de votos en vivo]]>,,,,Ninguna,False
Política,<![CDATA[Elecciones Perú 2026: Resultados ONPE al 99.875% de la segunda vuelta de Pasco y conteo oficial de votos en vivo]]>,,,,Ninguna,False
Política,<![CDATA[Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta de Moquegua y conteo oficial de votos en vivo]]>,,,,Ninguna,False
Política,<![CDATA[Elecciones Perú 2026: Resultados ONPE al 99.72% de la segunda vuelta de Lima y conteo oficial de votos en vivo]]>,,,,Ninguna,False
Política,<![CDATA[Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta de Lambayeque y conteo oficial de votos en vivo]]>,,,,Ninguna,False
Política,<![CDATA[Elecciones Perú 2026: Resultados ONPE al 99.957% de la segunda vuelta de Huánuco y conteo oficial de votos en vivo]]>,,,,Ninguna,False
Política,<![CDATA[Elecciones Perú 2026: Resultados ONPE al 99.843% de la segunda vuelta de Huancavelica y conteo oficial de votos en vivo]]>,,,,Ninguna,False
Política,<![CDATA[Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta de Cusco y conteo oficial de votos en vivo]]>,,,,Ninguna,False
Política,<![CDATA[Roberto Sánchez asegura que “alianza parlamentaria” con Obras y Ahora Nación “se mantiene sólida”]]>,"Roberto Sánchez afirmó que la alianza parlamentaria entre Juntos por el Perú, Obras y Ahora Nación continúa unida pese al escenario político. El pronunciamiento se produce días después de cuestionar el proceso electoral y anunciar que no reconocerá un eventual gobierno de Keiko Fujimori.",,,Ninguna,False
Política,<![CDATA[Conoce quiénes son los senadores que estarán en el nuevo Congreso Bicameral]]>,"El Jurado Nacional de Elecciones (JNE) entregó este jueves las credenciales a los 60 senadores elegidos en las Elecciones Generales 2026, oficializando así su condición de integrantes de la denominada Cámara Alta que volverá a funcionar en el país tras más de tres décadas de ausencia.",,,Ninguna,False
Política,<![CDATA[Elecciones Perú 2026: Resultados ONPE al 99.88% de la segunda vuelta entre Keiko Fujimori y Roberto Sánchez en vivo y conteo oficial de votos]]>,,,,Ninguna,False
Política,<![CDATA[JNE ratifica multa de S/176.550 contra Juntos por el Perú por aportes irregulares en campaña del 2021: las razones de la decisión]]>,"La ONPE determinó que 17 aportes provenían de una fuente desconocida, luego de que los supuestos aportantes negaran haber realizado dichas contribuciones. Además, uno de ellos figuraba como fallecido antes de la fecha en que se habría efectuado el presunto aporte.",,,Ninguna,False
Política,<![CDATA[ONPE y JNE: ¿Qué falta ahora para la proclamación de resultados y en manos de qué organismo está?]]>,Fuentes indicaron a El Comercio que el organismo electoral ha solicitado al IRTP la transmisión de la proclamación de los resultados presidenciales para el 7 de julio.,,,Ninguna,False
